card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202009,41135107,야탑동,7275060,113,01,M,7275060,113,41135
0,202009,41135108,판교동,10084900,26,01,M,10084900,26,41135
0,202009,41135109,삼평동,8556600,27,01,M,8556600,27,41135
0,202009,41135110,백현동,1800500,44,01,M,1800500,44,41135
0,202010,41135101,분당동,269920,18,01,M,269920,18,41135
0,202010,41135102,수내동,26985204,481,01,M,26985204,481,41135
0,202010,41135103,정자동,46899860,521,01,M,46899860,521,41135
0,202010,41135105,서현동,35174160,403,01,M,35174160,403,41135
0,202010,41135106,이매동,17776760,254,01,M,17776760,254,41135
0,202010,41135107,야탑동,10452620,259,01,M,10452620,259,41135
0,202010,41135108,판교동,4242500,21,01,M,4242500,21,41135
0,202010,41135109,삼평동,12268300,145,01,M,12268300,145,41135
0,202010,41135110,백현동,559800,54,01,M,559800,54,41135
0,202010,41135111,금곡동,6911750,94,01,M,6911750,94,41135
0,202011,41135101,분당동,234640,13,01,M,234640,13,41135
0,202011,41135102,수내동,28531520,463,01,M,28531520,463,41135
0,202011,41135103,정자동,39265110,464,01,M,39265110,464,41135
0,202011,41135105,서현동,23675050,437,01,M,23675050,437,41135
0,202011,41135106,이매동,25094680,298,01,M,25094680,298,41135
0,202011,41135107,야탑동,13047700,214,01,M,13047700,214,41135
0,202011,41135108,판교동,5278400,37,01,M,5278400,37,41135
0,202011,41135109,삼평동,11944460,135,01,M,11944460,135,41135
0,202011,41135110,백현동,3006670,41,01,M,3006670,41,41135
0,202011,41135111,금곡동,7492390,79,01,M,7492390,79,41135
0,202012,41135101,분당동,403960,27,01,M,403960,27,41135
0,202012,41135102,수내동,18996160,321,01,M,18996160,321,41135
0,202012,41135103,정자동,38198020,356,01,M,38198020,356,41135
0,202012,41135104,율동,80000,3,01,M,80000,3,41135
0,202012,41135105,서현동,20893220,256,01,M,20893220,256,41135
0,202012,41135106,이매동,21180330,228,01,M,21180330,228,41135
0,202012,41135107,야탑동,11655540,211,01,M,11655540,211,41135
0,202012,41135108,판교동,9648800,57,01,M,9648800,57,41135
0,202012,41135109,삼평동,10621800,87,01,M,10621800,87,41135
0,202012,41135110,백현동,4206500,34,01,M,4206500,34,41135
0,202101,41135101,분당동,59490,6,01,M,59490,6,41135
0,202101,41135102,수내동,10663660,116,01,M,10663660,116,41135
0,202101,41135103,정자동,22076800,176,01,M,22076800,176,41135
0,202101,41135105,서현동,14563590,143,01,M,14563590,143,41135
0,202101,41135106,이매동,8857380,73,01,M,8857380,73,41135
0,202101,41135107,야탑동,4315830,59,01,M,4315830,59,41135
0,202101,41135108,판교동,487410,10,01,M,487410,10,41135
0,202101,41135109,삼평동,3966230,54,01,M,3966230,54,41135
0,202101,41135110,백현동,2200900,22,01,M,2200900,22,41135
0,202101,41135111,금곡동,4468500,33,01,M,4468500,33,41135
0,202102,41135101,분당동,519250,15,01,M,519250,15,41135
0,202102,41135102,수내동,16204470,192,01,M,16204470,192,41135
0,202102,41135103,정자동,33049850,267,01,M,33049850,267,41135
0,202102,41135104,율동,50600,1,01,M,50600,1,41135
0,202102,41135105,서현동,20812056,166,01,M,20812056,166,41135
0,202102,41135106,이매동,10542420,87,01,M,10542420,87,41135
0,202102,41135107,야탑동,4263710,68,01,M,4263710,68,41135
0,202102,41135108,판교동,1287000,8,01,M,1287000,8,41135
0,202102,41135109,삼평동,5499360,47,01,M,5499360,47,41135
0,202102,41135110,백현동,3471500,25,01,M,3471500,25,41135
0,202103,41135101,분당동,618140,30,01,M,618140,30,41135
0,202103,41135102,수내동,32670970,322,01,M,32670970,322,41135
0,202103,41135103,정자동,59661800,447,01,M,59661800,447,41135
0,202103,41135104,율동,59000,1,01,M,59000,1,41135
0,202103,41135105,서현동,30982680,315,01,M,30982680,315,41135
0,202103,41135106,이매동,22811770,207,01,M,22811770,207,41135
0,202103,41135107,야탑동,9558820,157,01,M,9558820,157,41135
0,202103,41135108,판교동,2406400,18,01,M,2406400,18,41135
0,202103,41135109,삼평동,15484320,106,01,M,15484320,106,41135
0,202103,41135110,백현동,4833040,40,01,M,4833040,40,41135
0,202104,41135101,분당동,778450,35,01,M,778450,35,41135
33900,202104,41135102,수내동,38023850,634,01,M,38057750,639,41135
0,202104,41135103,정자동,67384040,805,01,M,67384040,805,41135
0,202104,41135104,율동,167000,7,01,M,167000,7,41135
0,202104,41135105,서현동,39662770,720,01,M,39662770,720,41135
0,202104,41135106,이매동,21911040,430,01,M,21911040,430,41135
0,202104,41135107,야탑동,15576950,477,01,M,15576950,477,41135
0,202104,41135108,판교동,1932700,65,01,M,1932700,65,41135
0,202104,41135109,삼평동,9989110,171,01,M,9989110,171,41135
0,202104,41135110,백현동,4955800,79,01,M,4955800,79,41135
0,202105,41135101,분당동,457100,38,01,M,457100,38,41135
0,202105,41135102,수내동,43452160,460,01,M,43452160,460,41135
0,202105,41135103,정자동,69201920,709,01,M,69201920,709,41135
0,202105,41135104,율동,57000,1,01,M,57000,1,41135
0,202105,41135105,서현동,43361350,596,01,M,43361350,596,41135
0,202105,41135106,이매동,31438000,308,01,M,31438000,308,41135
0,202105,41135107,야탑동,16060280,370,01,M,16060280,370,41135
0,202105,41135108,판교동,2686690,80,01,M,2686690,80,41135
0,202105,41135109,삼평동,8956660,98,01,M,8956660,98,41135
0,202105,41135110,백현동,4325060,53,01,M,4325060,53,41135
0,202106,41135101,분당동,853900,58,01,M,853900,58,41135
360400,202106,41135102,수내동,82418820,999,01,M,82779220,1016,41135
12000,202106,41135103,정자동,109359830,1069,01,M,109371830,1070,41135
0,202106,41135104,율동,175800,4,01,M,175800,4,41135
0,202106,41135105,서현동,60373618,888,01,M,60373618,888,41135
