상권,종류,업종,10대,20대,30대,40대,50대,60대이상,남자,여자,성남상권
맹산반딧불이자연학교,골목,소매업,0.4,11.5,20.7,23.3,26.3,17.8,62.1,37.9,야탑3동 상권
동판교로52번길,골목,음식업,0.1,14.3,34.2,28.3,15.5,7.7,55.2,44.8,백현동 상권
동판교로52번길,골목,서비스업,0.0,29.7,27.3,23.1,12.7,7.1,75.0,25.0,백현동 상권
동판교로52번길,골목,소매업,0.0,6.3,28.0,43.5,15.0,7.3,67.2,32.8,백현동 상권
판교역로10번길,골목,음식업,0.1,11.2,25.8,24.1,21.2,17.5,49.9,50.1,백현동 상권
판교역로10번길,골목,서비스업,0.1,6.4,19.4,43.7,19.0,11.4,44.8,55.2,백현동 상권
판교역로10번길,골목,소매업,0.3,8.4,20.9,25.0,27.6,17.9,53.1,46.9,백현동 상권
내정로119번길,골목,음식업,0.3,10.2,18.8,24.6,27.4,18.7,62.9,37.1,정자동상권
내정로119번길,골목,서비스업,0.2,8.4,16.0,37.5,25.7,12.2,57.6,42.4,정자동상권
내정로119번길,골목,소매업,0.3,9.4,18.1,25.7,24.9,21.7,62.8,37.2,정자동상권
정자1동주민센터,골목,음식업,0.4,6.8,17.3,25.6,28.1,21.9,59.8,40.2,정자동 먹자골목상권
정자1동주민센터,골목,서비스업,0.0,6.2,13.9,22.6,26.8,30.4,71.7,28.3,정자동 먹자골목상권
정자1동주민센터,골목,소매업,1.0,11.0,21.3,27.4,25.8,13.4,61.0,39.0,정자동 먹자골목상권
미금일로,골목,음식업,0.1,9.7,19.8,21.4,26.3,22.6,66.0,34.0,미금현대벤처빌 상권
미금일로,골목,서비스업,0.1,8.7,15.1,24.1,30.9,21.1,69.1,30.9,미금현대벤처빌 상권
미금일로,골목,소매업,0.2,11.6,19.2,22.9,22.9,23.2,64.4,35.6,미금현대벤처빌 상권
금호시장,전통,음식업,0.1,2.4,7.5,20.9,24.2,44.8,48.7,51.3,수내 전통상권
금호시장,전통,서비스업,0.0,0.5,7.0,39.5,17.7,35.4,43.8,56.2,수내 전통상권
금호시장,전통,소매업,0.1,0.9,4.2,13.7,25.6,55.5,25.8,74.2,수내 전통상권
코끼리상가시장,전통,음식업,0.7,2.6,9.8,40.0,27.9,19.2,47.0,53.0,수내 전통상권
