성남상권,상권명,상권종류,분기,매출총액,매출건수,서비스업,소매업,음식업,월,화,수,목,금,토,일,01~06,06~11,11~13,13~17,17~21,21~01,서비스업-10대비율,서비스업-20대비율,서비스업-30대비율,서비스업-40대비율,서비스업-50대비율,서비스업-60대이상비율,서비스업-남자비율,서비스업-여자비율,소매업-10대비율,소매업-20대비율,소매업-30대비율,소매업-40대비율,소매업-50대비율,소매업-60대이상비율,소매업-남자비율,소매업-여자비율,음식업-10대비율,음식업-20대비율,음식업-30대비율,음식업-40대비율,음식업-50대비율,음식업-60대이상비율,음식업-남자비율,음식업-여자비율
미금현대벤처빌 상권,미금역_3번출구,발달상권,2024년2분기,52069501.0,2180.0,127.0,127.0,74.0,14.2,15.7,14.8,15.2,17.1,16.1,7.0,1.0,11.8,18.4,33.4,29.0,6.4,0.3,6.2,9.5,32.5,30.7,20.8,49.8,50.2,0.2,3.6,11.4,21.8,22.2,40.7,43.5,56.5,0.5,9.4,16.8,20.8,25.3,27.2,55.2,44.8
오리역 상권,오리역_6번출구,발달상권,2024년2분기,45123790.0,2594.0,32.0,45.0,35.0,15.7,16.6,16.1,14.5,14.6,14.7,7.7,1.9,9.9,20.0,34.0,28.2,6.0,0.1,10.4,23.6,23.8,27.1,14.8,50.2,49.8,0.2,9.7,16.7,25.9,18.6,28.8,51.4,48.6,0.3,13.5,22.3,24.7,22.7,16.6,59.7,40.3
오리역 상권,오리역,발달상권,2024년2분기,65355496.0,2586.0,64.0,32.0,74.0,14.3,14.5,14.4,14.5,15.0,18.1,9.3,3.9,9.4,16.5,28.5,31.2,10.6,0.1,4.2,13.9,28.6,32.1,21.2,42.5,57.5,0.1,6.6,14.0,23.2,25.0,31.1,56.5,43.5,0.3,11.1,18.2,21.2,25.3,24.0,66.0,34.0
야탑 먹자골목,매화로,골목상권,2024년2분기,49952710.0,1158.0,29.0,23.0,80.0,12.5,14.0,13.6,13.7,17.8,17.5,10.9,2.9,6.1,12.3,20.0,39.2,19.6,0.0,4.2,14.3,30.8,31.6,19.2,44.9,55.1,0.1,6.5,31.6,20.4,19.9,21.6,50.3,49.7,0.2,12.9,22.8,23.5,24.3,16.2,67.1,32.9
야탑3동 상권,맹산반딧불이자연학교,골목상권,2024년2분기,15062508.0,872.0,49.0,45.0,49.0,11.9,14.5,16.0,13.0,15.2,17.1,12.4,4.6,9.4,17.6,29.9,28.3,10.1,0.1,4.3,17.1,25.7,22.4,30.5,50.2,49.8,0.4,11.5,20.7,23.3,26.3,17.8,62.1,37.9,0.3,13.4,24.1,24.7,21.6,15.8,58.7,41.3
백현동 상권,동판교로52번길,골목상권,2024년2분기,19939430.0,762.0,5.0,12.0,13.0,7.6,13.3,11.3,11.1,17.8,17.7,21.2,2.9,5.9,15.5,26.9,33.4,15.5,0.0,29.7,27.3,23.1,12.7,7.1,75.0,25.0,0.0,6.3,28.0,43.5,15.0,7.3,67.2,32.8,0.1,14.3,34.2,28.3,15.5,7.7,55.2,44.8
백현동 상권,판교역로10번길,골목상권,2024년2분기,28251465.0,852.0,37.0,64.0,48.0,10.9,12.1,13.6,14.4,14.5,19.4,15.0,0.9,6.2,19.7,38.4,31.4,3.4,0.1,6.4,19.4,43.7,19.0,11.4,44.8,55.2,0.3,8.4,20.9,25.0,27.6,17.9,53.1,46.9,0.1,11.2,25.8,24.1,21.2,17.5,49.9,50.1
정자동 상권,내정로119번길,골목상권,2024년2분기,27227088.0,1096.0,141.0,120.0,163.0,11.8,13.6,14.0,14.2,15.6,18.1,12.6,3.5,9.0,14.8,26.7,34.1,11.8,0.2,8.4,16.0,37.5,25.7,12.2,57.6,42.4,0.3,9.4,18.1,25.7,24.9,21.7,62.8,37.2,0.3,10.2,18.8,24.6,27.4,18.7,62.9,37.1
정자동 먹자골목 상권,정자1동주민센터,골목상권,2024년2분기,28717553.0,1255.0,18.0,11.0,79.0,10.9,12.8,14.6,13.2,15.2,16.9,16.4,2.6,3.9,24.0,27.0,34.9,7.6,0.0,6.2,13.9,22.6,26.8,30.4,71.7,28.3,1.0,11.0,21.3,27.4,25.8,13.4,61.0,39.0,0.4,6.8,17.3,25.6,28.1,21.9,59.8,40.2
미금현대벤처빌 상권,미금일로,골목상권,2024년2분기,32479517.0,1154.0,71.0,38.0,128.0,11.5,13.0,14.0,14.7,16.8,17.8,12.1,5.8,3.1,10.5,18.9,40.6,21.1,0.1,8.7,15.1,24.1,30.9,21.1,69.1,30.9,0.2,11.6,19.2,22.9,22.9,23.2,64.4,35.6,0.1,9.7,19.8,21.4,26.3,22.6,66.0,34.0
수내 전통상권,금호시장,전통시장,2024년2분기,16728277.0,507.0,50.0,124.0,46.0,14.5,15.6,15.8,15.2,17.4,18.2,3.4,0.0,3.1,20.4,46.4,28.5,1.5,0.0,0.5,7.0,39.5,17.7,35.4,43.8,56.2,0.1,0.9,4.2,13.7,25.6,55.5,25.8,74.2,0.1,2.4,7.5,20.9,24.2,44.8,48.7,51.3
수내 전통상권,코끼리상가시장,전통시장,2024년2분기,35116777.0,977.0,23.0,35.0,11.0,15.2,14.3,15.1,13.9,14.8,18.0,8.7,0.0,9.5,15.4,39.3,33.2,2.5,0.1,1.0,5.2,52.9,27.6,13.2,40.6,59.4,0.2,0.8,4.8,38.6,29.6,26.0,43.3,56.7,0.7,2.6,9.8,40.0,27.9,19.2,47.0,53.0
수내 전통상권,돌고래시장,전통시장,2024년2분기,27006428.0,1262.0,13.0,71.0,28.0,16.0,15.6,15.6,14.4,17.1,21.1,0.2,0.0,9.4,22.1,45.9,22.5,0.1,0.0,0.5,10.7,23.4,31.5,33.9,42.6,57.4,0.0,0.6,3.8,17.1,32.7,45.6,32.7,67.3,0.1,1.2,6.4,23.6,32.3,36.4,38.5,61.5
수내 전통상권,동신종합시장,전통시장,2024년2분기,29289568.0,655.0,79.0,34.0,16.0,14.0,15.0,20.0,12.0,18.3,14.8,5.9,0.8,15.6,13.3,30.2,32.7,7.4,0.4,2.6,4.9,54.2,26.5,11.4,47.9,52.1,0.3,2.3,4.1,24.1,30.5,38.7,38.0,62.0,0.7,3.6,16.5,41.1,23.0,15.1,51.7,48.3
수내 전통상권,현대프라자시장,전통시장,2024년2분기,32617041.0,1097.0,102.0,20.0,10.0,14.2,15.5,15.7,14.2,16.4,17.1,6.9,1.5,8.3,11.2,33.5,36.8,8.7,0.1,0.4,5.5,67.3,20.7,6.0,46.4,53.6,0.8,3.4,5.9,37.7,23.2,29.0,48.1,51.9,1.1,3.9,8.5,44.1,30.4,12.0,46.7,53.3
서현 전통상권,현대시장(분당),전통시장,2024년2분기,26966338.0,1648.0,36.0,17.0,16.0,15.6,13.7,14.9,14.6,18.0,15.4,7.8,1.7,8.7,15.1,31.8,33.5,9.3,0.1,3.1,9.3,38.1,29.4,20.0,45.0,55.0,2.2,6.3,9.0,23.6,23.5,35.5,51.3,48.7,1.5,4.8,10.5,34.2,29.0,20.1,46.5,53.5
서현 전통상권,분당우성시장,전통시장,2024년2분기,86339079.0,3313.0,29.0,19.0,14.0,15.5,15.2,13.8,14.5,17.8,17.3,5.8,0.2,14.6,21.8,32.0,26.9,4.5,0.3,2.7,5.8,41.4,34.5,15.3,39.2,60.8,0.1,1.7,6.0,19.2,30.9,42.1,43.6,56.4,1.2,4.8,9.4,32.2,31.1,21.3,48.5,51.5
서현 전통상권,미래그린시장,전통시장,2024년2분기,19497664.0,906.0,19.0,20.0,28.0,12.2,12.1,13.3,13.4,16.1,17.9,15.1,0.3,7.2,16.3,32.2,38.6,5.4,0.4,1.7,15.0,53.2,16.3,13.5,43.9,56.1,0.2,2.7,7.7,19.4,27.9,42.2,43.6,56.4,0.3,3.8,10.6,25.6,29.3,30.4,53.9,46.1
서현 전통상권,미래타운제2종합시장,전통시장,2024년2분기,33180640.0,1200.0,15.0,11.0,13.0,12.1,14.3,12.7,13.5,18.5,18.3,10.6,1.3,4.3,16.2,31.1,38.8,8.3,0.1,4.3,11.6,33.5,31.5,19.0,39.0,61.0,0.1,4.6,6.2,17.6,18.8,52.7,27.5,72.5,0.1,3.3,9.8,24.0,30.0,32.8,54.4,45.6
