card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202010,41131000,,59337392,1512,01,M,59337392,1512,41131
0,202010,41131000,,59337392,1512,01,M,59337392,1512,41131
0,202010,41131101,신흥동,7760230,69,01,M,7760230,69,41131
0,202010,41131102,태평동,12265410,86,01,M,12265410,86,41131
0,202010,41131103,수진동,1106590,34,01,M,1106590,34,41131
0,202010,41131104,단대동,96670,8,01,M,96670,8,41131
0,202010,41131105,산성동,278490,31,01,M,278490,31,41131
0,202010,41131106,양지동,1442600,12,01,M,1442600,12,41131
0,202010,41131108,창곡동,2870380,65,01,M,2870380,65,41131
0,202011,41131000,,50184850,1364,01,M,50184850,1364,41131
0,202011,41131101,신흥동,3672270,65,01,M,3672270,65,41131
0,202011,41131000,,50184850,1364,01,M,50184850,1364,41131
0,202011,41131101,신흥동,3672270,65,01,M,3672270,65,41131
0,202011,41131102,태평동,2018490,59,01,M,2018490,59,41131
0,202011,41131103,수진동,879220,43,01,M,879220,43,41131
0,202011,41131104,단대동,726900,26,01,M,726900,26,41131
0,202011,41131105,산성동,29400,2,01,M,29400,2,41131
0,202011,41131106,양지동,1565000,28,01,M,1565000,28,41131
0,202011,41131107,복정동,59100,11,01,M,59100,11,41131
0,202011,41131108,창곡동,2873170,108,01,M,2873170,108,41131
0,202011,41131112,고등동,103800,6,01,M,103800,6,41131
0,202012,41131000,,54581610,927,01,M,54581610,927,41131
0,202012,41131101,신흥동,5535200,40,01,M,5535200,40,41131
0,202012,41131102,태평동,3851600,53,01,M,3851600,53,41131
0,202012,41131103,수진동,157880,18,01,M,157880,18,41131
0,202012,41131104,단대동,2100,1,01,M,2100,1,41131
0,202012,41131105,산성동,133200,11,01,M,133200,11,41131
0,202012,41131106,양지동,3000980,41,01,M,3000980,41,41131
0,202012,41131107,복정동,139900,16,01,M,139900,16,41131
0,202012,41131108,창곡동,4695650,68,01,M,4695650,68,41131
0,202012,41131117,사송동,30000,1,01,M,30000,1,41131
0,202101,41131000,,35249670,500,01,M,35249670,500,41131
0,202101,41131101,신흥동,1788700,15,01,M,1788700,15,41131
0,202101,41131102,태평동,2414470,23,01,M,2414470,23,41131
0,202101,41131103,수진동,97900,7,01,M,97900,7,41131
0,202101,41131104,단대동,970000,2,01,M,970000,2,41131
0,202101,41131105,산성동,2000,1,01,M,2000,1,41131
0,202101,41131106,양지동,1311600,13,01,M,1311600,13,41131
0,202101,41131107,복정동,61000,4,01,M,61000,4,41131
0,202101,41131108,창곡동,4758800,46,01,M,4758800,46,41131
0,202102,41131000,,27083290,535,01,M,27083290,535,41131
0,202102,41131000,,27083290,535,01,M,27083290,535,41131
0,202102,41131101,신흥동,2540480,10,01,M,2540480,10,41131
0,202102,41131102,태평동,1401160,22,01,M,1401160,22,41131
0,202102,41131103,수진동,134400,3,01,M,134400,3,41131
0,202102,41131104,단대동,526290,6,01,M,526290,6,41131
0,202102,41131105,산성동,9500,1,01,M,9500,1,41131
0,202102,41131106,양지동,1286940,14,01,M,1286940,14,41131
0,202102,41131108,창곡동,7539500,73,01,M,7539500,73,41131
0,202103,41131000,,62587250,1190,01,M,62587250,1190,41131
0,202103,41131101,신흥동,7357300,65,01,M,7357300,65,41131
0,202103,41131000,,62587250,1190,01,M,62587250,1190,41131
0,202103,41131101,신흥동,7357300,65,01,M,7357300,65,41131
0,202103,41131102,태평동,7522650,67,01,M,7522650,67,41131
0,202103,41131103,수진동,643260,30,01,M,643260,30,41131
0,202103,41131104,단대동,3289500,22,01,M,3289500,22,41131
0,202103,41131105,산성동,53800,6,01,M,53800,6,41131
0,202103,41131106,양지동,1465840,27,01,M,1465840,27,41131
0,202103,41131107,복정동,6400,2,01,M,6400,2,41131
0,202103,41131108,창곡동,12264140,112,01,M,12264140,112,41131
0,202103,41131115,시흥동,32800,4,01,M,32800,4,41131
128560,202104,41131000,,90088556,3207,01,M,90217116,3219,41131
78000,202104,41131101,신흥동,4225910,220,01,M,4303910,224,41131
0,202104,41131102,태평동,7113720,252,01,M,7113720,252,41131
0,202104,41131103,수진동,2199160,121,01,M,2199160,121,41131
0,202104,41131104,단대동,1282720,41,01,M,1282720,41,41131
0,202104,41131105,산성동,339300,32,01,M,339300,32,41131
28000,202104,41131106,양지동,2846560,93,01,M,2874560,101,41131
0,202104,41131107,복정동,137600,4,01,M,137600,4,41131
0,202104,41131108,창곡동,18265700,185,01,M,18265700,185,41131
0,202104,41131112,고등동,239800,12,01,M,239800,12,41131
267100,202105,41131000,,82783700,1898,01,M,83050800,1942,41131
22400,202105,41131101,신흥동,5388400,117,01,M,5410800,123,41131
0,202105,41131102,태평동,3636110,104,01,M,3636110,104,41131
0,202105,41131103,수진동,896700,46,01,M,896700,46,41131
0,202105,41131104,단대동,2312800,24,01,M,2312800,24,41131
0,202105,41131105,산성동,224200,15,01,M,224200,15,41131
57700,202105,41131106,양지동,2330040,54,01,M,2387740,64,41131
0,202105,41131108,창곡동,17692302,190,01,M,17692302,190,41131
0,202105,41131109,신촌동,55000,2,01,M,55000,2,41131
0,202105,41131112,고등동,388776,21,01,M,388776,21,41131
1153800,202106,41131000,,107423860,2475,01,M,108577660,2564,41131
71200,202106,41131101,신흥동,9028300,182,01,M,9099500,194,41131
42500,202106,41131102,태평동,7527840,168,01,M,7570340,175,41131
0,202106,41131103,수진동,2479700,64,01,M,2479700,64,41131
0,202106,41131104,단대동,2075800,41,01,M,2075800,41,41131
0,202106,41131105,산성동,473200,14,01,M,473200,14,41131
0,202106,41131106,양지동,1455800,47,01,M,1455800,47,41131
0,202106,41131107,복정동,200000,6,01,M,200000,6,41131
19000,202106,41131108,창곡동,25506200,297,01,M,25525200,298,41131
0,202106,41131109,신촌동,98000,4,01,M,98000,4,41131
287610,202107,41131000,,79639928,2134,01,M,79927538,2169,41131
137800,202107,41131101,신흥동,6988900,127,01,M,7126700,151,41131
6800,202107,41131102,태평동,7412502,123,01,M,7419302,127,41131
3500,202107,41131103,수진동,588900,47,01,M,592400,48,41131
0,202107,41131104,단대동,2828200,23,01,M,2828200,23,41131
0,202107,41131105,산성동,19000,2,01,M,19000,2,41131
159000,202107,41131106,양지동,1640600,55,01,M,1799600,61,41131
0,202107,41131107,복정동,12000,2,01,M,12000,2,41131
12500,202107,41131108,창곡동,22030249,306,01,M,22042749,307,41131
0,202107,41131109,신촌동,55000,2,01,M,55000,2,41131
1105600,202108,41131000,,59325382,1645,01,M,60430982,1741,41131
253700,202108,41131101,신흥동,5824240,97,01,M,6077940,126,41131
178200,202108,41131102,태평동,3772950,118,01,M,3951150,124,41131
40400,202108,41131103,수진동,1902600,54,01,M,1943000,60,41131
0,202108,41131104,단대동,3092440,25,01,M,3092440,25,41131
0,202108,41131105,산성동,486420,16,01,M,486420,16,41131
0,202108,41131106,양지동,733600,12,01,M,733600,12,41131
0,202108,41131107,복정동,291600,4,01,M,291600,4,41131
0,202108,41131108,창곡동,13455800,236,01,M,13455800,236,41131
0,202108,41131112,고등동,186200,16,01,M,186200,16,41131
360180,202109,41131000,,29709742,2003,01,M,30069922,2047,41131
36000,202109,41131101,신흥동,2199990,86,01,M,2235990,92,41131
23250,202109,41131102,태평동,2823160,159,01,M,2846410,165,41131
64800,202109,41131103,수진동,913300,68,01,M,978100,76,41131
0,202109,41131104,단대동,679390,39,01,M,679390,39,41131
0,202109,41131105,산성동,123700,11,01,M,123700,11,41131
22000,202109,41131106,양지동,676000,51,01,M,698000,53,41131
7700,202109,41131108,창곡동,6088830,185,01,M,6096530,186,41131
0,202109,41131110,오야동,21300,6,01,M,21300,6,41131
0,202109,41131112,고등동,112400,14,01,M,112400,14,41131
849030,202110,41131000,,53517360,2445,01,M,54366390,2513,41131
22500,202110,41131101,신흥동,5914780,254,01,M,5937280,266,41131
13600,202110,41131102,태평동,4412770,174,01,M,4426370,179,41131
47500,202110,41131103,수진동,1291320,108,01,M,1338820,115,41131
